+---------------------+---------------------------------------------------------+---------------------+---------------------+------------+
| id                  | TARTGET_PATH                                            | create_time         | goods_id            | CLUSTER_ID |
| 1724271336850550786 | nlopt-2.7.0-intel2018.tar                               | 2023-11-14 11:41:37 | 1724271467413868545 | 11112      |
| 1724271337970429954 | nlopt-2.7.0-intel2020.tar                               | 2023-11-14 11:41:37 | 1724271467413868545 | 11112      |
| 1724271339006423041 | nlopt-2.7.0-intel2021.tar                               | 2023-11-14 11:41:37 | 1724271467413868545 | 11112      |
| 1724271340101136386 | petsc-3.19.5-hpcx.tar                                   | 2023-11-14 11:41:38 | 1724271470064668674 | 11112      |
| 1724271341212626946 | petsc-3.19.5-intelmpi2020.tar                           | 2023-11-14 11:41:38 | 1724271470064668674 | 11112      |
| 1724271342307340289 | petsc-3.19.5-intelmpi2021.tar                           | 2023-11-14 11:41:38 | 1724271470064668674 | 11112      |
| 1724271343381082113 | pnetcdf-1.12.3-hpcx.tar                                 | 2023-11-14 11:41:38 | 1724271472883240962 | 11112      |
| 1724271344421269505 | pnetcdf-1.12.3-intelmpi2017.tar                         | 2023-11-14 11:41:39 | 1724271472883240962 | 11112      |
| 1724271345570508801 | pnetcdf-1.12.3-intelmpi2018.tar                         | 2023-11-14 11:41:39 | 1724271472883240962 | 11112      |
| 1724271346661027841 | pnetcdf-1.12.3-intelmpi2020.tar                         | 2023-11-14 11:41:39 | 1724271472883240962 | 11112      |
| 1724271348527493122 | pnetcdf-1.12.3-intelmpi2021.tar                         | 2023-11-14 11:41:40 | 1724271472883240962 | 11112      |
| 1724271349525737474 | scotch-7.0.1-hpcx.tar                                   | 2023-11-14 11:41:40 | 1724271476012191746 | 11112      |
| 1724271350582702081 | scotch-7.0.1-intelmpi2017.tar                           | 2023-11-14 11:41:40 | 1724271476012191746 | 11112      |
| 1724271351601917954 | scotch-7.0.1-intelmpi2018.tar                           | 2023-11-14 11:41:40 | 1724271476012191746 | 11112      |
| 1724271352675659777 | scotch-7.0.1-intelmpi2020.tar                           | 2023-11-14 11:41:41 | 1724271476012191746 | 11112      |
| 1724271353778761730 | scotch-7.0.1-intelmpi2021.tar                           | 2023-11-14 11:41:41 | 1724271476012191746 | 11112      |
| 1724271355972382722 | sparskit-2-intel2017_static.tar                         | 2023-11-14 11:41:41 | 1724271478725906433 | 11112      |
| 1724271357058707458 | sparskit-2-intel2018_static.tar                         | 2023-11-14 11:41:42 | 1724271478725906433 | 11112      |
| 1724271358090506241 | sparskit-2-intel2020_static.tar                         | 2023-11-14 11:41:42 | 1724271478725906433 | 11112      |
| 1724271359168442370 | sparskit-2-intel2021_static.tar                         | 2023-11-14 11:41:42 | 1724271478725906433 | 11112      |
| 1724271360208629761 | zlib-1.3-gcc731.tar                                     | 2023-11-14 11:41:42 | 1724271481645142017 | 11112      |
| 1724271361248817154 | zlib-1.3-intel2017.tar                                  | 2023-11-14 11:41:43 | 1724271481645142017 | 11112      |
| 1724271362314170370 | zlib-1.3-intel2018.tar                                  | 2023-11-14 11:41:43 | 1724271481645142017 | 11112      |
| 1724271363345969153 | zlib-1.3-intel2020.tar                                  | 2023-11-14 11:41:43 | 1724271481645142017 | 11112      |
| 1724271364465848321 | zlib-1.3-intel2021.tar                                  | 2023-11-14 11:41:43 | 1724271481645142017 | 11112      |
| 1724349665548984322 | faster-rcnn-dtk23.04.tar                                | 2023-11-14 16:52:52 | 1724349683222622210 | 11112      |
| 1724349666882772993 | mnist-1.0-dtk23.04.tar                                  | 2023-11-14 16:52:52 | 1724349686510956546 | 11112      |
| 1724402250704330753 | ncl-6.6.2-gcc4.8.5.tar                                  | 2023-11-14 20:21:49 | 1724402275415928834 | 11112      |
| 1724402251853570050 | ncl_ncarg-6.5.0-gcc_4.8.5.tar                           | 2023-11-14 20:21:49 | 1724402275415928834 | 11112      |
| 1724402254030413825 | nco-4.6.7-intel2017.tar                                 | 2023-11-14 20:21:50 | 1724402278528102402 | 11112      |
| 1724402255217401857 | nco-4.7.8-intel2017.tar                                 | 2023-11-14 20:21:50 | 1724402278528102402 | 11112      |
| 1724607468356345857 | hpcx-2.12.0-nfs3.2gcc7.3.1.tar.bz2                      | 2023-11-15 09:57:17 | 1724608619683164162 | 11112      |
| 1724617613043933186 | hpcx-2.12.0-nfs3.2gcc7.3.1.tar.bz2                      | 2023-11-15 10:37:35 | 1724617771499302913 | 11112      |
| 1724702940517474305 | lammps-7Aug2019-hpcx_gcc7.3.1.tar                       | 2023-11-15 16:16:39 | 1724703924327985154 | 11112      |
| 1724702942794981377 | lammps-15Jun2020-intelmpi2018.tar                       | 2023-11-15 16:16:40 | 1724703927515656194 | 11112      |
| 1724702943973580802 | lammps-18Feb2020-intelmpi2018.tar                       | 2023-11-15 16:16:40 | 1724703927515656194 | 11112      |
| 1724702945152180226 | lammps-18Sep2020-intelmpi2018.tar                       | 2023-11-15 16:16:40 | 1724703927515656194 | 11112      |
| 1724702946251087874 | lammps-19Mar2020-intelmpi2018.tar                       | 2023-11-15 16:16:40 | 1724703927515656194 | 11112      |
| 1724702947618430978 | lammps-21Jul2020-intelmpi2018.tar                       | 2023-11-15 16:16:41 | 1724703927515656194 | 11112      |
| 1724702949988212738 | lammps-22Oct2020-intelmpi2018.tar                       | 2023-11-15 16:16:41 | 1724703927515656194 | 11112      |
| 1724702951229726722 | lammps-24Aug2020-intelmpi2021.tar                       | 2023-11-15 16:16:42 | 1724703927515656194 | 11112      |
| 1724702952915836929 | lammps-24Dec2020-intelmpi2018.tar                       | 2023-11-15 16:16:42 | 1724703927515656194 | 11112      |
| 1724702954111213570 | lammps-24Jan2020-intelmpi2018.tar                       | 2023-11-15 16:16:42 | 1724703927515656194 | 11112      |
| 1724702955566637058 | lammps-27Feb2020-intelmpi2018.tar                       | 2023-11-15 16:16:43 | 1724703927515656194 | 11112      |
| 1724702956720070657 | lammps-29Oct2020-intelmpi2018.tar                       | 2023-11-15 16:16:43 | 1724703927515656194 | 11112      |
| 1724702957831561218 | lammps-2Jun2020-intelmpi2018.tar                        | 2023-11-15 16:16:43 | 1724703927515656194 | 11112      |
| 1724702959106629633 | lammps-30Jun2020-intelmpi2018.tar                       | 2023-11-15 16:16:44 | 1724703927515656194 | 11112      |
| 1724702960310394882 | lammps-30Nov2020-intelmpi2018.tar                       | 2023-11-15 16:16:44 | 1724703927515656194 | 11112      |
